id,usefors,description,name,refId
"1311","","","Mathematics","tcm:4-512828"
"1312","","","Information handling","tcm:4-512789"
"1313","","","Data and analysis","tcm:4-512788"
"1314","","I can collect objects and ask questions to gather information, organising and displaying my findings in different ways.","MNU 0-20a","tcm:4-512967"
"1315","","I can match objects, and sort using my own and others' criteria, sharing my ideas with others.","MNU 0-20b","tcm:4-512969"
"1316","","I can use the signs and charts around me for information, helping me plan and make choices and decisions in my daily life.","MNU 0-20c","tcm:4-512970"
"1317","","I have explored a variety of ways in which data is presented and can ask and answer questions about the information it contains.","MNU 1-20a","tcm:4-512985"
"1318","","I have used a range of ways to collect information and can sort it in a logical, organised and imaginative way using my own and others' criteria.","MNU 1-20b","tcm:4-512971"
"1319","","Having discussed the variety of ways and range of media used to present data, I can interpret and draw conclusions from the information displayed, recognising that the presentation may be misleading.","MNU 2-20a","tcm:4-512973"
"1320","","I have carried out investigations and surveys, devising and using a variety of methods to gather information and have worked with others to collate, organise and communicate the results in an appropriate way.","MNU 2-20b","tcm:4-512974"
"1321","","I can work collaboratively, making appropriate use of technology, to source information presented in a range of ways, interpret what it conveys and discuss whether I believe the information to be robust, vague or misleading.","MNU 3-20a","tcm:4-512977"
"1322","","I can evaluate and interpret raw and graphical data using a variety of methods, comment on relationships I observe within the data and communicate my findings to others.","MNU 4-20a","tcm:4-512978"
"1323","","Using technology and other methods, I can display data simply, clearly and accurately by creating tables, charts and diagrams, using simple labelling and scale.","MTH 1-21a","tcm:4-512981"
"1324","","I can display data in a clear way using a suitable scale, by choosing appropriately from an extended range of tables, charts, diagrams and graphs, making effective use of technology.","MTH 2-21a","tcm:4-512982"
"1325","","When analysing information or collecting data of my own, I can use my understanding of how bias may arise and how sample size can affect precision, to ensure that the data allows for fair conclusions to be drawn.","MTH 3-20b","tcm:4-512976"
"1326","","I can display data in a clear way using a suitable scale, by choosing appropriately from an extended range of tables, charts, diagrams and graphs making effective use of technology.","MTH 3-21a","tcm:4-541323"
"1327","","In order to compare numerical information in real-life contexts, I can find the mean, median, mode and range of sets of numbers, decide which type of average is most appropriate to use and discuss how using an alternative type of average could be misleading.","MTH 4-20b","tcm:4-512979"
"1328","","I can select appropriately from a wide range of tables, charts, diagrams and graphs when displaying discrete, continuous or grouped data, clearly communicating the significant features of the data.","MTH 4-21a","tcm:4-512983"
"1329","","","Ideas of chance and uncertainty","tcm:4-512786"
"1330","","I can use appropriate vocabulary to describe the likelihood of events occurring, using the knowledge and experiences of myself and others to guide me.","MNU 1-22a","tcm:4-512987"
"1331","","I can conduct simple experiments involving chance and communicate my predictions and findings using the vocabulary of probability.","MNU 2-22a","tcm:4-512986"
"1332","","I can find the probability of a simple event happening and explain why the consequences of the event, as well as its probability, should be considered when making choices.","MNU 3-22a","tcm:4-512988"
"1333","","By applying my understanding of probability, I can determine how many times I expect an event to occur, and use this information to make predictions, risk assessment, informed choices and decisions.","MNU 4-22a","tcm:4-512990"
"1334","","","Number, money and measure","tcm:4-512826"
"1335","","","Estimation and rounding","tcm:4-512827"
"1336","","I am developing a sense of size and amount by observing, exploring, using and communicating with others about things in the world around me.","MNU 0-01a","tcm:4-530143"
"1337","","I can share ideas with others to develop ways of estimating the answer to a calculation or problem, work out the actual answer, then check my solution by comparing it with the estimate.","MNU 1-01a","tcm:4-512830"
"1338","","I can use my knowledge of rounding to routinely estimate the answer to a problem then, after calculating, decide if my answer is reasonable, sharing my solution with others.","MNU 2-01a","tcm:4-512831"
"1339","","I can round a number using an appropriate degree of accuracy, having taken into account the context of the problem.","MNU 3-01a","tcm:4-512832"
"1340","","Having investigated the practical impact of inaccuracy and error, I can use my knowledge of tolerance when choosing the required degree of accuracy to make real-life calculations.","MNU 4-01a","tcm:4-512833"
"1341","","","Expressions and equations","tcm:4-512799"
"1342","","I can compare, describe and show number relationships, using appropriate vocabulary and the symbols for equals, not equal to, less than and greater than.","MTH 1-15a","tcm:4-512920"
