parent_id,parent_name,child_id,child_name
,"CfE","1311","Mathematics"
"1311","Mathematics","1312","Information handling"
"1312","Information handling","1313","Data and analysis"
"1313","Data and analysis","1314","MNU 0-20a"
"1313","Data and analysis","1315","MNU 0-20b"
"1313","Data and analysis","1316","MNU 0-20c"
"1313","Data and analysis","1317","MNU 1-20a"
"1313","Data and analysis","1318","MNU 1-20b"
"1313","Data and analysis","1319","MNU 2-20a"
"1313","Data and analysis","1320","MNU 2-20b"
"1313","Data and analysis","1321","MNU 3-20a"
"1313","Data and analysis","1322","MNU 4-20a"
"1313","Data and analysis","1323","MTH 1-21a"
"1313","Data and analysis","1324","MTH 2-21a"
"1313","Data and analysis","1325","MTH 3-20b"
"1313","Data and analysis","1326","MTH 3-21a"
"1313","Data and analysis","1327","MTH 4-20b"
"1313","Data and analysis","1328","MTH 4-21a"
"1312","Information handling","1329","Ideas of chance and uncertainty"
"1329","Ideas of chance and uncertainty","1330","MNU 1-22a"
"1329","Ideas of chance and uncertainty","1331","MNU 2-22a"
"1329","Ideas of chance and uncertainty","1332","MNU 3-22a"
"1329","Ideas of chance and uncertainty","1333","MNU 4-22a"
"1311","Mathematics","1334","Number, money and measure"
"1334","Number, money and measure","1335","Estimation and rounding"
"1335","Estimation and rounding","1336","MNU 0-01a"
"1335","Estimation and rounding","1337","MNU 1-01a"
"1335","Estimation and rounding","1338","MNU 2-01a"
"1335","Estimation and rounding","1339","MNU 3-01a"
"1335","Estimation and rounding","1340","MNU 4-01a"
"1334","Number, money and measure","1341","Expressions and equations"
"1341","Expressions and equations","1342","MTH 1-15a"
"1341","Expressions and equations","1343","MTH 1-15b"
"1341","Expressions and equations","1344","MTH 2-15a"
"1341","Expressions and equations","1345","MTH 3-14a"
"1341","Expressions and equations","1346","MTH 3-15a"
"1341","Expressions and equations","1347","MTH 3-15b"
"1341","Expressions and equations","1348","MTH 4-14a"
"1341","Expressions and equations","1349","MTH 4-14b"
"1341","Expressions and equations","1350","MTH 4-15a"
"1334","Number, money and measure","1351","Fractions, decimal fractions and percentages"
"1351","Fractions, decimal fractions and percentages","1352","MNU 0-07a"
"1351","Fractions, decimal fractions and percentages","1353","MNU 1-07a"
"1351","Fractions, decimal fractions and percentages","1354","MNU 1-07b"
"1351","Fractions, decimal fractions and percentages","1355","MNU 2-07a"
"1351","Fractions, decimal fractions and percentages","1356","MNU 2-07b"
"1351","Fractions, decimal fractions and percentages","1357","MNU 3-07a"
"1351","Fractions, decimal fractions and percentages","1358","MNU 3-08a"
"1351","Fractions, decimal fractions and percentages","1359","MNU 4-07a"
"1351","Fractions, decimal fractions and percentages","1360","MNU 4-08a"
"1351","Fractions, decimal fractions and percentages","1361","MTH 1-07c"
"1351","Fractions, decimal fractions and percentages","1362","MTH 2-07c"
"1351","Fractions, decimal fractions and percentages","1363","MTH 3-07b"
"1351","Fractions, decimal fractions and percentages","1364","MTH 3-07c"
"1351","Fractions, decimal fractions and percentages","1365","MTH 4-07b"
"1334","Number, money and measure","1366","Mathematics and its impact on the world, past, present and future"
"1366","Mathematics and its impact on the world, past, present and future","1367","MTH 1-12a"
"1366","Mathematics and its impact on the world, past, present and future","1368","MTH 2-12a"
"1366","Mathematics and its impact on the world, past, present and future","1369","MTH 3-12a"
"1366","Mathematics and its impact on the world, past, present and future","1370","MTH 4-12a"
"1334","Number, money and measure","1371","Measurement"
"1371","Measurement","1372","MNU 0-11a"
"1371","Measurement","1373","MNU 1-11a"
"1371","Measurement","1374","MNU 1-11b"
"1371","Measurement","1375","MNU 2-11a"
"1371","Measurement","1376","MNU 2-11b"
"1371","Measurement","1377","MNU 2-11c"
"1371","Measurement","1378","MNU 3-11a"
"1371","Measurement","1379","MNU 4-11a"
"1371","Measurement","1380","MTH 3-11b"
"1371","Measurement","1381","MTH 4-11b"
"1371","Measurement","1382","MTH 4-11c"
"1334","Number, money and measure","1383","Money"
"1383","Money","1384","MNU 0-09a"
"1383","Money","1385","MNU 1-09a"
"1383","Money","1386","MNU 1-09b"
"1383","Money","1387","MNU 2-09a"
"1383","Money","1388","MNU 2-09b"
"1383","Money","1389","MNU 2-09c"
"1383","Money","1390","MNU 3-09a"
"1383","Money","1391","MNU 3-09b"
"1383","Money","1392","MNU 4-09a"
"1383","Money","1393","MNU 4-09b"
"1383","Money","1394","MNU 4-09c"
"1334","Number, money and measure","1395","Multiples, factors and primes"
"1395","Multiples, factors and primes","1396","MTH 2-05a"
"1395","Multiples, factors and primes","1397","MTH 3-05a"
"1395","Multiples, factors and primes","1398","MTH 3-05b"
"1334","Number, money and measure","1399","Number and number processes"
"1399","Number and number processes","1400","MNU 0-02a"
"1399","Number and number processes","1401","MNU 0-03a"
"1399","Number and number processes","1402","MNU 1-02a"
"1399","Number and number processes","1403","MNU 1-03a"
"1399","Number and number processes","1404","MNU 2-02a"
"1399","Number and number processes","1405","MNU 2-03a"
"1399","Number and number processes","1406","MNU 2-03b"
"1399","Number and number processes","1407","MNU 2-04a"
"1399","Number and number processes","1408","MNU 3-03a"
"1399","Number and number processes","1409","MNU 3-03b"
"1399","Number and number processes","1410","MNU 3-04a"
"1399","Number and number processes","1411","MNU 4-03a"
"1399","Number and number processes","1412","MTH 2-03c"
"1399","Number and number processes","1413","MTH 4-03b"
"1334","Number, money and measure","1414","Patterns and relationships"
"1414","Patterns and relationships","1415","MTH 0-13a"
"1414","Patterns and relationships","1416","MTH 1-13a"
"1414","Patterns and relationships","1417","MTH 1-13b"
"1414","Patterns and relationships","1418","MTH 2-13a"
"1414","Patterns and relationships","1419","MTH 3-13a"
"1414","Patterns and relationships","1420","MTH 4-13a"
"1414","Patterns and relationships","1421","MTH 4-13b"
"1414","Patterns and relationships","1422","MTH 4-13c"
"1414","Patterns and relationships","1423","MTH 4-13d"
"1334","Number, money and measure","1424","Powers and roots"
"1424","Powers and roots","1425","MTH 3-06a"
"1424","Powers and roots","1426","MTH 4-06a"
"1424","Powers and roots","1427","MTH 4-06b"
"1334","Number, money and measure","1428","Time"
"1428","Time","1429","MNU 0-10a"
"1428","Time","1430","MNU 1-10a"
"1428","Time","1431","MNU 1-10b"
