course_id,crb,programme_owner,programme_identifier,programme_owner_identifier,title,level,credits,subject_1,subject_2,description,target,approval_date,review_date,private,archived
24004,Anniesland College,Anniesland College,AC01 03,Anniesland College,Creative Recycling,3,4,Creative Industries,Other,"Promotes creative understanding and awareness of current issues concerning environmental damage and recycling, and introduces candidates to a new and creative way of thinking and producing artwork.","Primarily learners with additional support needs but lends itself very well to anyone interested in issues concerning the environment using research, creativity and recycling.",05/02/2013,05/08/2014,0,0
24003,Edinburgh's Telford College,Edinburgh's Telford College,HWB/SS/PTAccess,Edinburgh\'s Telford College,Access to Humanities and Social Sciences,6,72,Social Science,,The Part-time Access to Humanities and Social Science course is delivered in partnership with Edinburgh University and provides entry over one academic session to a range of degrees.,Adults who have been out of school for 3 or 4 years and now seek university entry for a degree in Social Sciences or Humanities subjects. There are no formal entry requirements.,28/02/2013,27/02/2015,0,0
24002,Motherwell College,Motherwell College,SFL3-4-4,Motherwell College,Relationships,4,4,Personal Development,Health and Social Care,Develops a knowledge and understanding of different types of relationships and an awareness of how to resolve relationship problems.  Sexual Health and well-being will also be explored.,Learners with Additional Support Needs,19/02/2013,19/02/2015,0,0
24001,Motherwell College,Motherwell College,SFL2-4-2,Motherwell College,Enterprise,4,2,Personal Development,Business and Administration,"Introduces candidates to an empowering Enterprise Activity. They will develop a range of qualities and skills, including planning, organising, carrying out the activity and reviewing strategies.",Learners with Additional Support Needs,19/02/2013,19/02/2015,0,0
24000,Motherwell College,Motherwell College,SFL1-3-2,Motherwell College,Rights and Responsibilities,3,2,Personal Development,Other,This unit is designed to develop the knowledge and understanding of the Rights and Responsibilities of young people in Scotland.,Learners with Additional Suport Needs,19/02/2013,19/02/2015,0,0
23999,SQA Credit Rating Service,The Boys' Brigade,CR106SUB001,ORG100,King George VI Leadership Programme,7,13,Community Learning and Development,,"Course aims to develop: knowledge &amp; understanding of the organisationtransferable &amp; life skills through opportunities to explore realistic situations how to organise resources for max efficiency",Young people aged between 17 and 22 interested in becoming a leader witihn the Boys Brigade.,26/02/2013,28/02/2018,0,0
23991,SQA Credit Rating Service,BIMS,CR084SUB009,ORG081,Certified Information Technology Specialist,6,30,Computing,,"The syllabus cover information systems &amp; business strategy, the impact of IT, organisational issues in IS functions, feasibilities studies in IT, project management in IT and IS development process.",This award will provide candidates the opportunity to gain advanced level knowledge of Information Technology.,26/02/2013,28/02/2021,0,0
23990,SQA Credit Rating Service,BIMS,CR084SUB008,ORG081,Certified Marketing Specialist,6,30,Management,,"The syllabus cover the concepts &amp; relevant theories of marketing, marketing process, marketing environment, consumer behaviour, market segmentation, marketing mix, selling and marketing services.",This award will provide candidates the opportunity to gain advanced level knowledge in Marketing Management.,26/02/2013,28/02/2021,0,0
23989,SQA Credit Rating Service,BIMS,CR084 SUB002,ORG081,Certified Human Resource Manager,6,20,Management,,"The syllabus cover the knowledge of the development in human resource management field, human resource planning, recruitment function, selection function, reward management and monitoring performance.",This award allows candidates to demonstrate advanced level knowledge and understanding of different functions of Human Resource management.,11/01/2013,31/01/2021,0,0
23988,Dumfries and Galloway College,Dumfries &amp; Galloway College,Dumfries &amp; Galloway College,337,Introduction to Sustainability,5,2,Other,Other,This unit is designed to introduce candidates to the principles of sustainability and sustainable development.  It aims to encourage candidates to act sustainably in their everyday lives.,"College staff, students and schools groups",14/02/2013,22/02/2015,0,0
23987,Inverness College,H&amp;I FE Colleges SCQF Partnership,PSEE SCQF4,H&amp;I FE Colleges SCQF Partnership,"Development of Personal, Study, Employment and Enterprise Skills",4,4,Personal Development,,"This unit is designed to be integrated into the candidates' programme of study, enabling them to recognise their current skills, identify development needs and review their progress/future plans.",Further education students studying college programmes at SCQF 4 level.,04/02/2013,02/02/2018,0,0
23985,SQA Accreditation,Education Development International,G740 24,34,SVQ 4 in Leadership and Management for Care Services at SCQF level 10,10,72 - 87,Management,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,30/05/2012,31/03/2015,0,0
23984,The Chartered Institute Of Bankers in Scotland,The Chartered Institute of Bankers in Scotland,MAPC,1304A076F2,Mortgage Advice and Practice Certificate,8,20,Finance,Finance,The Financial Services Authority requires those giving mortgage advice or selling mortgage products to hold an approved qualification.,Mortgage Advisers and Financial Services employees,18/05/2009,18/05/2014,0,0
23983,The Chartered Institute Of Bankers in Scotland,The Chartered Institute of Bankers in Scotland,ADIPFS,1304A076F2,Advanced Diploma in Financial Services,11,60,Finance,,A general qualification designed as a first step qualificatin for those aspiring to develop their career in the financial services sector.,Financial Services employees,18/05/2009,18/05/2014,0,0
23982,The Chartered Institute Of Bankers in Scotland,The Chartered Institute of Bankers in Scotland,ADIPBSO,1304A076F2,Advanced Diploma in Building Society Operations,11,60,Finance,,To provide a sound understanding of the principles of management in a building society environment,Building Society employees,18/05/2009,18/05/2014,0,0
23981,The Chartered Institute Of Bankers in Scotland,The Chartered Institute of Bankers in Scotland,ADIPORM,1304A076F2,Advanced Diploma in Operational Risk Management,11,60,Management,,To provide a sound understanding of the principles of operational risk management.,"Anyone who works, or aspires to work, in  area of operational risk management.",18/05/2009,18/05/2014,0,0
23980,The Chartered Institute Of Bankers in Scotland,The Chartered Institute of Bankers in Scotland,ADIPFSL,1304A076F2,Advanced Diploma in Financial Services Leadership,11,60,Finance,Management,To provide the essential professional knowledge and skills for those undertaking a management or leadership role in the financial services sector.,Financial Services employees,18/05/2009,18/05/2014,0,0
23979,The Chartered Institute Of Bankers in Scotland,The Chartered Institute of Bankers in Scotland,ADIPBCB,1304A076F2,Advanced Diploma in Business and Corporate Banking,11,60,Finance,,To provide a sound understanding of the principles of Business and Corporate Banking,"Anyone who works, or aspires to work, in a busines",18/05/2009,18/05/2014,0,0
23978,The Chartered Institute Of Bankers in Scotland,The Chartered Institute of Bankers in Scotland,CBMCIBS,1304A076F2,Chartered Banker,11,220,Finance,,"Chartered Banker is designed to benefit anyone who works in, or who is aspiring to work in, a management or senior management role in the Financial Services Industry.",Financial Services employees,18/05/2009,18/05/2014,0,0
23977,SQA Credit Rating Service,Institute of Hospitality,CR039SUB003,ORG041,Institute of Hospitality Diploma in Advanced Hospitality and Tourism Management SCQF level 8,8,50-53,Hospitality and Tourism,,,The Institute of Hospitality qualifications are designed primarily to support work-based learners both candidates seeking career development and progression and those aspiring to enter the industry.,01/11/2009,31/07/2013,0,0
23976,SQA Credit Rating Service,Institute of Hospitality,CR039SUB002,ORG041,Institute of Hospitality Diploma in Hospitality and Tourism Management SCQF level 7,7,55-57,Hospitality and Tourism,,,The Institute of Hospitality qualifications are designed primarily to support work-based learners both candidates seeking career development and progression and those aspiring to enter the industry.,01/11/2009,31/07/2014,0,0
23975,SQA Credit Rating Service,Institute of Hospitality,CR039SUB001,ORG041,Institute of Hospitality Diploma in Hospitality &amp; Tourism Operations SCQF Level 5,5,46-47,Hospitality and Tourism,,,The Institute of Hospitality qualifications are designed primarily to support work-based learners both candidates seeking career development and progression and those aspiring to enter the industry.,01/11/2009,31/07/2014,0,0
23974,Borders College,Borders College,SAZRR814,1304A06QN9,Ready for Retail,2,35,Retail,Personal Development,A 5 unit workbased programme that prepares candidates for employment in the retails sector. Subjects cover a range of work skills with a core of 3 units and 2 options taken from a range of subjects.,"People with a learning disability, employers and agencies offering supported programmes. Candidates are supported in a workplace to develop the necessary skills to secure a job in the retail sector.",14/02/2013,14/02/2016,0,0
23973,Borders College,Borders College,SAZRR815,1304A06QN9,Ready for Retail,1,35,Retail,Personal Development,Delivered in the retail sector. The candidates are given the necessary support to experience the range skills necessary for employment. Progression to Ready for Retail SCQF 2 opportunities exist.,The programme is for people with a learning disability who wish to develop skills for working in the retail sector.  It will be of interest to organisations providing supported employment in retail.,14/02/2013,14/02/2016,0,0
23972,SQA Credit Rating Service,BIMS,CR084 SUB007,ORG081,Certified Project Management Analyst,7,30,Management,,"The syllabus include the nature and scope of the project management, stakeholders, feasibility studies, the project life cycle, project management methodologies, project tools and techniques.",This award will provide candidates the opportunity to gain knowledge of Project Management.,12/02/2013,28/02/2021,0,0
23971,SQA Credit Rating Service,Grimsay Boatshed Trust,CR 091,ORG 086,Across the Minch Traditional Boatbuilding and Repair in the North West of Scotland,6,226,Other,,This course covers traditional boatbuilding and repair in a workplace setting.,Candidates who wish to undertake training in traditional boatbuilding in workplace setting.,12/02/2013,31/07/2019,0,0
23970,SQA Accreditation,SQA Awarding Body,G8W824,SQA Awarding Body,SVQ 4 Leadership and Management for Care Services SCQF Level 10,10,72 - 87,Health and Social Care,Management,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,12/03/2008,31/03/2015,0,0
23967,SQA Credit Rating Service,Scottish Youth Theatre,ORG064SUB001,ORG064,Performance and Production Learning Programme,7,29,Creative Industries,,"The 6 week full-time intensive course consists of -Rehearsals &amp; Performance ProcessesVoice in Rehearsal &amp; PerformanceMovement in Rehearsal &amp; PerformanceCreating a Character for Performance",Aged 15-25. Interested in rehearsal and performance skills building and developing own practice in a professional theatre environment.,19/01/2012,19/01/2017,0,0
23966,SQA Credit Rating Service,COMAS,CR087 SUB001,ORG083,Certificate in Recovery Coaching,7,4,Counselling,,"This course introduces people who have the Certificate in Self Coaching to skills, tools and techniques to coach others to improve their lives in recovery.","This course is for people in recovery from addiction who want to help others, or for anyone working with people to recover from addiction.",22/01/2013,31/01/2018,0,0
23965,SQA Credit Rating Service,COMAS,CR087 SUB002,ORG083,Certificate in Self-Coaching,5,2,Counselling,,"This qualification is for individuals who want to reflect on their own recovery and their life skills, improve their self-awareness and their self-management skills.",This course is for people in recovery from addiction who want to develop and improve their experience of recovery.,22/01/2013,31/01/2018,0,0
23964,Kilmarnock College,NHS Ayrshire & Arran,NHSMOV/APP31/07,KCNHSAA1,Moving and Handling Key-Trainers Course,6,5,Health and Social Care,,To develop key-workers to assist in the delivery of an on-going programme for the prevention of work related moving and handling and musculo-skeletal problems in employees,Key workers within NHS Ayrshire,09/01/2013,09/01/2016,0,0
